21K6531 ; erktj ; erek ; 2 ; info ; 1 ; 1400.0 ; 2000.0 ; 2100.0 ;200.0;1700 
28U4645 ; narbffja ; rek ; 2 ; info ; 1 ; 2000.0 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
19K0074 ; hpwevrh ; rek ; 2 ; info ; 1 ; 0.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
25R1810 ; _tlcoirlu ; rek ; 3 ; info ; 1 ; 15.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
11S1050 ; ktlos ; rek ; 2 ; info ; 1 ; 1.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
13C0012 ; hqxaduj ; rek ; 2 ; info ; 1 ; 13.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
18T4590 ; _`cv ; rek ; 2 ; info ; 1 ; 1.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
28P5169 ; eligseug ; rek ; 2 ; info ; 1 ; 20.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
29H4152 ; siwrxlo ; rek ; 1 ; info ; 1 ; 15.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200 
21E1761 ; knatlokf ; rek ; 2 ; info ; 1 ; 5.00 ; 2100.0 ; 1800.0 ; 1500.0 ; 3200
