74PR414377;WYBOWSKF;23/03/1998;UniversiteDeDschang;INFORMATIQUE;LICENCE1
54ZX522642;HYBGEBNC;19/11/2015;UniversiteDeDouala;INFORMATIQUE;LICENCE1
80LC423355;JFVZBBQT;22/02/2004;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
12XF830167;RMNRTYIR;07/07/1996;UniversiteDeDschang;INFORMATIQUE;LICENCE1
70JK862814;YLGUDSAM;14/10/1996;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
10RF862016;QDVWEKZP;17/01/2006;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
32NL250264;RUOTXEOP;22/06/2018;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
14YT227216;TCIMCSDB;03/03/1992;UniversiteDeDouala;INFORMATIQUE;LICENCE1
61OG146125;DLVIFXXX;07/03/2017;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
53VW077113;ASUFETWW;14/10/1996;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
50IR171772;PLRMRFDK;17/09/1999;UniversiteDeDschang;INFORMATIQUE;LICENCE1
42VG222624;HMYKECLK;05/09/1994;UniversiteDeDschang;INFORMATIQUE;LICENCE1
27KJ164655;PISXIPUK;26/10/1994;UniversiteDeDouala;INFORMATIQUE;LICENCE1
01NT042128;JQROLOMA;09/05/2012;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
27FA516858;ZDPQIUBS;03/03/2020;UniversiteDeDouala;INFORMATIQUE;LICENCE1
15YB232617;GBENFRXV;28/04/2024;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
08AC377488;BRSJJOUS;01/09/2018;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
31JX502085;FNIQBUTA;15/11/2018;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
61YX625864;ZKTKEWEL;22/10/1990;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
46DH758506;XIADZXAA;28/08/2017;UniversiteDeDouala;INFORMATIQUE;LICENCE1
41QB310386;QUMZIIUP;27/03/2002;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
75WI527882;VCGXZBZY;18/10/1993;UniversiteDeyaounde2;INFORMATIQUE;LICENCE1
13ZM340277;LSKPOOCO;07/11/2003;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
61UH712542;WCRXBRYS;19/03/2001;UniversiteDeDouala;INFORMATIQUE;LICENCE1
30FB582171;LMTVUNLP;18/06/2007;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
38UO262068;QTORUOPH;04/08/2000;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
84JZ578742;ICWZQBNP;04/08/2000;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
77YM661670;DEMHXMBK;26/02/2001;UniversiteDeDschang;INFORMATIQUE;LICENCE1
80NA784801;YUHUISMA;11/11/2007;UniversiteDeDschang;INFORMATIQUE;LICENCE1
78AM663457;NARJQIQB;01/01/2018;UniversiteDeDouala;INFORMATIQUE;LICENCE1
61UK383550;KPADQPSV;28/08/2003;UniversiteDeDouala;INFORMATIQUE;LICENCE1
32KT250647;VGCSTDET;05/01/2015;UniversiteDeDouala;INFORMATIQUE;LICENCE1
62WG715238;ALQIGCIT;19/11/2008;UniversiteDeYaounde1;INFORMATIQUE;LICENCE1
70DC521874;EZDXJVYU;21/09/2017;UniversiteDeDschang;INFORMATIQUE;LICENCE1
